rss,vms,shared,text,lib,data,dirty,uss,pss,swap,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars
970752,2711552,876544,4096,0,233472,0,106496,133120,0,11,0,0,0,4208,0
970752,2711552,876544,4096,0,233472,0,106496,131072,0,11,0,0,0,4208,0
970752,2711552,876544,4096,0,233472,0,106496,134144,0,11,0,0,0,4208,0
970752,2711552,876544,4096,0,233472,0,106496,134144,0,11,0,0,0,4208,0
970752,2711552,876544,4096,0,233472,0,106496,132096,0,11,0,0,0,4208,0
970752,2711552,876544,4096,0,233472,0,106496,134144,0,11,0,0,0,4208,0
970752,2711552,876544,4096,0,233472,0,106496,134144,0,11,0,0,0,4208,0
970752,2711552,876544,4096,0,233472,0,106496,134144,0,11,0,0,0,4208,0
970752,2711552,876544,4096,0,233472,0,106496,134144,0,11,0,0,0,4208,0
970752,2711552,876544,4096,0,233472,0,106496,134144,0,11,0,0,0,4208,0
970752,2711552,876544,4096,0,233472,0,106496,134144,0,11,0,0,0,4208,0
